"","ASV","Count","rel_abun","Family","Host","Total","Core"
"A. koa.131","ASV378",689,0.345671827495209,NA,"A. koa",189080,"Yes"
"A. koa.132","ASV383",560,0.280952428733406,NA,"A. koa",189080,"Yes"
"A. koa.133","ASV392",2743,1.3761652000281,NA,"A. koa",189080,"Yes"
"A. koa.134","ASV398",150,0.0752551148393052,NA,"A. koa",189080,"Yes"
"A. koa.135","ASV44",7,0.00351190535916758,NA,"A. koa",189080,"No"
"A. koa.136","ASV440",20,0.0100340153119074,NA,"A. koa",189080,"Yes"
"A. koa.137","ASV451",22,0.0110374168430981,NA,"A. koa",189080,"No"
"A. koa.138","ASV453",10,0.00501700765595368,NA,"A. koa",189080,"Yes"
"A. koa.139","ASV471",254,0.127431994461224,NA,"A. koa",189080,"Yes"
"A. koa.140","ASV498",14,0.00702381071833516,NA,"A. koa",189080,"No"
"A. koa.141","ASV592",13,0.00652210995273979,NA,"A. koa",189080,"Yes"
"A. koa.142","ASV614",20,0.0100340153119074,NA,"A. koa",189080,"No"
"A. koa.143","ASV642",9,0.00451530689035832,NA,"A. koa",189080,"No"
"A. koa.144","ASV649",20,0.0100340153119074,NA,"A. koa",189080,"No"
"A. koa.145","ASV692",11,0.00551870842154905,NA,"A. koa",189080,"No"
"A. koa.146","ASV736",255,0.127933695226819,NA,"A. koa",189080,"Yes"
"A. koa.147","ASV78",13,0.00652210995273979,NA,"A. koa",189080,"Yes"
"A. koa.148","ASV83",30,0.015051022967861,NA,"A. koa",189080,"No"
"A. koa.149","ASV877",11,0.00551870842154905,NA,"A. koa",189080,"No"
"A. koa.150","ASV89",6,0.00301020459357221,NA,"A. koa",189080,"Yes"
"A. koa.151","ASV926",191,0.0958248462287153,NA,"A. koa",189080,"Yes"
"A. koa.152","ASV949",44,0.0220748336861962,NA,"A. koa",189080,"No"
"A. koa.153","ASV950",21,0.0105357160775027,NA,"A. koa",189080,"No"
"A. koa.154","ASV952",176,0.0882993347447848,NA,"A. koa",189080,"Yes"
"A. koa.155","ASV958",11,0.00551870842154905,NA,"A. koa",189080,"No"
