"","ASV","Count","rel_abun","Family","Host","Total"
"M. lessertiana.6","ASV1176",1314,1.27734033245844,"Archaeosporaceae_core","M. lessertiana",87150
"M. lessertiana.7","ASV1189",351,0.341207349081365,"Archaeosporaceae_core","M. lessertiana",87150
"M. lessertiana.8","ASV1195",75,0.0729075532225139,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.9","ASV1197",77,0.0748517546417809,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.10","ASV1199",116,0.112763682317488,"Archaeosporaceae_core","M. lessertiana",87150
"M. lessertiana.11","ASV1228",24,0.0233304170312044,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.12","ASV1233",83,0.080684358899582,"Archaeosporaceae_core","M. lessertiana",87150
"M. lessertiana.13","ASV1240",118,0.114707883736755,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.14","ASV1250",1,0.000972100709633518,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.15","ASV1256",55,0.0534655390298435,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.16","ASV1259",46,0.0447166326431418,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.17","ASV1268",92,0.0894332652862837,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.18","ASV1271",170,0.165257120637698,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.19","ASV1272",204,0.198308544765238,"Archaeosporaceae","M. lessertiana",87150
"M. lessertiana.20","ASV1400",174,0.169145523476232,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.21","ASV1428",4395,4.27238261883931,"Glomeraceae_core","M. lessertiana",87150
"M. lessertiana.22","ASV1460",541,0.525906483911733,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.23","ASV1468",1520,1.47759307864295,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.24","ASV1476",1557,1.51356080489939,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.25","ASV1514",10870,10.5667347137163,"Glomeraceae_core","M. lessertiana",87150
"M. lessertiana.26","ASV1534",162,0.15748031496063,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.27","ASV1539",21,0.0204141149023039,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.28","ASV1542",40,0.0388840283853407,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.29","ASV1550",567,0.551181102362205,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.30","ASV1571",715,0.695052007387965,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.31","ASV1688",797,0.774764265577914,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.32","ASV1689",512,0.497715563332361,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.33","ASV1691",1749,1.70020414114902,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.34","ASV1700",1272,1.23651210265384,"Glomeraceae_core","M. lessertiana",87150
"M. lessertiana.35","ASV1815",185,0.179838631282201,"Acaulosporaceae_core","M. lessertiana",87150
"M. lessertiana.36","ASV1871",706,0.686303101001264,"Gigasporaceae_core","M. lessertiana",87150
"M. lessertiana.37","ASV1941",592,0.575483620103043,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.38","ASV1946",3057,2.97171186934966,"Glomeraceae_core","M. lessertiana",87150
"M. lessertiana.39","ASV1948",8597,8.35714980071936,"Glomeraceae_core","M. lessertiana",87150
"M. lessertiana.40","ASV1953",7008,6.81248177311169,"Glomeraceae_core","M. lessertiana",87150
"M. lessertiana.41","ASV201",65,0.0631865461261787,"Glomeromycotina","M. lessertiana",87150
"M. lessertiana.42","ASV2054",8343,8.11023622047244,"Glomeraceae_core","M. lessertiana",87150
"M. lessertiana.43","ASV2055",532,0.517157577525032,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.44","ASV2063",8090,7.86429474093516,"Glomeraceae_core","M. lessertiana",87150
"M. lessertiana.45","ASV2072",1826,1.7750558957908,"Glomeraceae_core","M. lessertiana",87150
"M. lessertiana.46","ASV208",198,0.192475940507437,"Glomeromycotina_core","M. lessertiana",87150
"M. lessertiana.47","ASV232",203,0.197336444055604,"Glomeraceae","M. lessertiana",87150
"M. lessertiana.48","ASV368",3776,3.67065227957616,"Glomeromycotina_core","M. lessertiana",87150
